"OD","LOC","SHK","OAL","2-Flute","3-Flute","4 Flute","2-Flute PowerA","3- Flute PowerA","4 Flute PowerA"
"1/32","1/16","1/8","1-1/2","213-102","","213-702","213-102-1","","213-702-1"
"1/32","3/32","1/8","1-1/2","209-202","210-202","211-202","209-202-1","210-202-1","211-202-1"
"3/64","3/32","1/8","1-1/2","213-104","","213-704","213-104-1","","213-704-1"
"3/64","1/8","1/8","1-1/2","209-204","210-204","211-204","209-204-1","210-204-1","211-204-1"
"1/16","1/8","1/8","1-1/2","213-106","","213-706","213-106-1","","213-706-1"
"1/16","1/4","1/8","1-1/2","209-206","210-206","211-206","209-206-1","210-206-1","211-206-1"
"5/64","1/4","1/8","1-1/2","209-208","210-208","211-208","209-208-1","210-208-1","211-208-1"
"3/32","3/16","1/8","1-1/2","213-108","","213-708","213-108-1","","213-708-1"
"3/32","3/8","1/8","1-1/2","209-210","210-210","211-210","209-210-1","210-210-1","211-210-1"
"7/64","3/8","1/8","1-1/2","209-212","210-212","211-212","209-212-1","210-212-1","211-212-1"
"1/8","1/4","1/8","1-1/2","213-112","","213-712","213-112-1","","213-712-1"
"1/8","1/2","1/8","1-1/2","209-214","210-214","211-214","209-214-1","210-214-1","211-214-1"
"1/8","5/8","1/8","2","204-202","","206-202","204-202-1","","206-202-1"
"1/8","3/4","1/8","2","204-204","","206-204","204-204-1","","206-204-1"
"1/8","1","1/8","3","204-206","","206-206","204-206-1","","206-206-1"
"9/64","9/16","3/16","2","209-216","210-216","211-216","209-216-1","210-216-1","211-216-1"
"5/32","5/16","3/16","2","213-110","","213-710","213-110-1","","213-710-1"
"5/32","9/16","3/16","2","209-218","210-218","211-218","209-218-1","210-218-1","211-218-1"
"11/64","9/16","3/16","2","209-220","210-220","211-220","209-220-1","210-220-1","211-220-1"
"3/16","3/8","3/16","2","213-114","","213-714","213-114-1","","213-714-1"
"3/16","5/8","3/16","2","209-222","210-222","211-222","209-222-1","210-222-1","211-222-1"
"3/16","3/4","3/16","2-1/2","204-208","","206-208","204-208-1","","206-208-1"
"3/16","1-1/8","3/16","3","204-210","","206-210","204-210-1","","206-210-1"
"3/16","1","3/16","4","204-212","","206-212","204-212-1","","206-212-1"
"13/64","5/8","1/4","2-1/2","209-224","210-224","211-224","209-224-1","210-224-1","211-224-1"
"7/32","7/16","1/4","2","213-116","","213-716","213-116-1","","213-716-1"
"7/32","5/8","1/4","2-1/2","209-226","210-226","211-226","209-226-1","210-226-1","211-226-1"
"15/64","3/4","1/4","2-1/2","209-228","210-228","211-228","209-228-1","210-228-1","211-228-1"
"1/4","1/2","1/4","2","213-118","","213-718","213-118-1","","213-718-1"
"1/4","3/4","1/4","2-1/2","209-230","210-230","211-230","209-230-1","210-230-1","211-230-1"
"1/4","1-1/8","1/4","3","204-214","","206-214","204-214-1","","206-214-1"
"1/4","1","1/4","4","204-216","","206-216","204-216-1","","206-216-1"
"1/4","1-1/2","1/4","4","204-218","","206-218","204-218-1","","206-218-1"
"1/4","1-1/2","1/4","6","204-220","","206-220","204-220-1","","206-220-1"
"17/64","7/8","5/16","2-1/2","209-232","210-232","211-232","209-232-1","210-232-1","211-232-1"
"9/32","7/8","5/16","2-1/2","209-234","210-234","211-234","209-234-1","210-234-1","211-234-1"
"19/64","7/8","5/16","2-1/2","209-236","210-236","211-236","209-236-1","210-236-1","211-236-1"
"5/16","1/2","5/16","2","213-120","","213-720","213-120-1","","213-720-1"
"5/16","7/8","5/16","2-1/2","209-238","210-238","211-238","209-238-1","210-238-1","211-238-1"
"5/16","1-1/8","5/16","3","204-222","","206-222","204-222-1","","206-222-1"
"5/16","1","5/16","4","204-224","","206-224","204-224-1","","206-224-1"
"5/16","1-5/8","5/16","4","204-226","","206-226","204-226-1","","206-226-1"
"5/16","1-1/2","5/16","6","204-228","","206-228","204-228-1","","206-228-1"
"21/64","7/8","3/8","2-1/2","209-240","210-240","211-240","209-240-1","210-240-1","211-240-1"
"11/32","7/8","3/8","2-1/2","209-242","210-242","211-242","209-242-1","210-242-1","211-242-1"
"23/64","7/8","3/8","2-1/2","209-244","210-244","211-244","209-244-1","210-244-1","211-244-1"
"3/8","5/8","3/8","2","213-122","","213-722","213-122-1","","213-722-1"
"3/8","7/8","3/8","2-1/2","209-246","210-246","211-246","209-246-1","210-246-1","211-246-1"
"3/8","1-1/8","3/8","3","204-230","","206-230","204-230-1","","206-230-1"
"3/8","1-3/4","3/8","4","204-232","","206-232","204-232-1","","206-232-1"
"3/8","2","3/8","4","204-234","","206-234","204-234-1","","206-234-1"
"3/8","1-1/2","3/8","6","204-236","","206-236","204-236-1","","206-236-1"
"3/8","3","3/8","6","204-238","","206-238","204-238-1","","206-238-1"
"25/64","7/8","7/16","2-1/2","209-248","210-248","211-248","209-248-1","210-248-1","211-248-1"
"13/32","7/8","7/16","2-1/2","209-250","210-250","211-250","209-250-1","210-250-1","211-250-1"
"27/64","7/8","7/16","2-1/2","209-252","210-252","211-252","209-252-1","210-252-1","211-252-1"
"7/16","5/8","7/16","2-1/2","213-124","","213-724","213-124-1","","213-724-1"
"7/16","1","7/16","2-1/2","209-254","210-254","211-254","209-254-1","210-254-1","211-254-1"
"7/16","1","7/16","4","204-240","","206-240","204-240-1","","206-240-1"
"7/16","2","7/16","4","204-242","","206-242","204-242-1","","206-242-1"
"7/16","1-1/2","7/16","6","204-244","","206-244","204-244-1","","206-244-1"
"7/16","3","7/16","6","204-246","","206-246","204-246-1","","206-246-1"
"29/64","1","1/2","3","209-256","210-256","211-256","209-256-1","210-256-1","211-256-1"
"15/32","1","1/2","3","209-258","210-258","211-258","209-258-1","210-258-1","211-258-1"
"31/64","1","1/2","3","209-260","210-260","211-260","209-260-1","210-260-1","211-260-1"
"1/2","5/8","1/2","2-1/2","213-126","","213-726","213-126-1","","213-726-1"
