"OD","LOC","SHK","OAL","2Flute","3Flute","4Flute","2Flute - PowerA","3Flute - PowerA","4Flute - PowerA"
"1","2","3","38","313-102","","313-702","313-102-1","","313-702-1"
"1","3","3","38","309-202","310-202","311-202","309-202-1","310-202-1","311-202-1"
"1.5","3","3","38","313-104","","313-704","313-104-1","","313-704-1"
"1.5","5","3","38","309-204","310-204","311-204","309-204-1","310-204-1","311-204-1"
"2","4","3","38","313-106","","313-706","313-106-1","","313-706-1"
"2","6","3","38","309-206","310-206","311-206","309-206-1","310-206-1","311-206-1"
"2.5","5","3","38","313-108","","313-708","313-108-1","","313-708-1"
"2.5","7","3","38","309-208","310-208","311-208","309-208-1","310-208-1","311-208-1"
"3","6","3","38","313-110","","313-710","313-110-1","","313-710-1"
"3","12","3","38","309-210","310-210","311-210","309-210-1","310-210-1","311-210-1"
"3","25","3","65","304-202","","306-202","304-202-1","","306-202-1"
"3.5","7","4","50","313-112","","313-712","313-112-1","","313-712-1"
"3.5","12","4","50","309-212","310-212","311-212","309-212-1","310-212-1","311-212-1"
"4","8","4","50","313-114","","313-714","313-114-1","","313-714-1"
"4","14","4","50","309-214","310-214","311-214","309-214-1","310-214-1","311-214-1"
"4","25","4","65","304-204","","306-204","304-204-1","","306-204-1"
"4.5","9","5","50","313-116","","313-716","313-116-1","","313-716-1"
"4.5","14","5","50","309-216","310-216","311-216","309-216-1","310-216-1","311-216-1"
"5","10","5","50","313-118","","313-718","313-118-1","","313-718-1"
"5","16","5","50","309-218","310-218","311-218","309-218-1","310-218-1","311-218-1"
"5","25","5","75","304-206","","306-206","304-206-1","","306-206-1"
"6","12","6","50","313-120","","313-720","313-120-1","","313-720-1"
"6","19","6","63","309-220","310-220","311-220","309-220-1","310-220-1","311-220-1"
"6","25","6","75","304-208","","306-208","304-208-1","","306-208-1"
"6","38","6","100","315-202","","317-202","315-202-1","","317-202-1"
"6","75","6","150","315-204","","317-204","315-204-1","","317-204-1"
"6","75","6","200","315-206","","317-206","315-206-1","","317-206-1"
"6","75","8","200","315-208","","317-208","315-208-1","","317-208-1"
"7","19","8","63","309-222","310-222","311-222","309-222-1","310-222-1","311-222-1"
"8","12","8","50","313-122","","313-722","313-122-1","","313-722-1"
"8","19","8","63","309-224","310-224","311-224","309-224-1","310-224-1","311-224-1"
"8","25","8","75","304-210","","306-210","304-210-1","","306-210-1"
"8","42","8","100","315-210","","317-210","315-210-1","","317-210-1"
"8","75","8","150","315-212","","317-212","315-212-1","","317-212-1"
"8","75","8","200","315-214","","317-214","315-214-1","","317-214-1"
"8","75","10","200","315-216","","317-216","315-216-1","","317-216-1"
"9","22","10","70","309-226","310-226","311-226","309-226-1","310-226-1","311-226-1"
"10","14","10","50","313-124","","313-724","313-124-1","","313-724-1"
"10","22","10","70","309-228","310-228","311-228","309-228-1","310-228-1","311-228-1"
"10","38","10","100","304-212","","306-212","304-212-1","","306-212-1"
"10","75","10","150","315-218","","317-218","315-218-1","","317-218-1"
"10","75","10","200","315-220","","317-220","315-220-1","","317-220-1"
"11","25","11","70","309-230","310-230","311-230","309-230-1","310-230-1","311-230-1"
"12","16","12","63","313-126","","313-726","313-126-1","","313-726-1"
"12","25","12","75","309-232","310-232","311-232","309-232-1","310-232-1","311-232-1"
"12","50","12","100","304-214","","306-214","304-214-1","","306-214-1"
"12","75","12","150","315-222","","317-222","315-222-1","","317-222-1"
"12","75","12","200","315-224","","317-224","315-224-1","","317-224-1"
"14","30","14","88","309-234","310-234","311-234","309-234-1","310-234-1","311-234-1"
"14","56","14","125","304-216","","306-216","304-216-1","","306-216-1"
"14","62","14","125","315-226","","317-226","315-226-1","","317-226-1"
"14","75","14","150","315-228","","317-228","315-228-1","","317-228-1"
"14","75","16","200","315-230","","317-230","315-230-1","","317-230-1"
"16","20","16","75","313-128","","313-728","313-128-1","","313-728-1"
"16","32","16","88","309-236","310-236","311-236","309-236-1","310-236-1","311-236-1"
"16","75","16","150","304-218","","306-218","304-218-1","","306-218-1"
"16","75","16","200","315-232","","317-232","315-232-1","","317-232-1"
"18","36","18","100","309-238","310-238","311-238","309-238-1","310-238-1","311-238-1"
"18","75","18","150","304-220","","306-220","304-220-1","","306-220-1"
"18","75","18","200","315-234","","317-234","315-234-1","","317-234-1"
"20","38","20","100","309-240","310-240","311-240","309-240-1","310-240-1","311-240-1"
"20","75","20","150","304-222","","306-222","304-222-1","","306-222-1"
"20","75","20","200","315-236","","317-236","315-236-1","","317-236-1"
"22","38","22","100","309-242","310-242","311-242","309-242-1","310-242-1","311-242-1"
"25","38","25","100","309-244","310-244","311-244","309-244-1","310-244-1","311-244-1"
"25","75","25","150","304-224","","306-224","304-224-1","","306-224-1"
