"OD","LOC","SHK","OAL","2 Flute - Uncoated","4 Flute - Uncoated","2 Flute- Power A","4-Flute power A"
".005",".015","1/8","1-1/2","207-102","","207-102-1",""
".010",".030","1/8","1-1/2","207-104","207-504","207-104-1","207-504-1"
".015",".045","1/8","1-1/2","207-106","207-506","207-106-1","207-506-1"
".020",".060","1/8","1-1/2","207-108","207-508","207-108-1","207-508-1"
".025",".075","1/8","1-1/2","207-110","207-510","207-110-1","207-510-1"
".030",".090","1/8","1-1/2","207-112","207-512","207-112-1","207-512-1"
".035",".105","1/8","1-1/2","207-114","207-514","207-114-1","207-514-1"
".040",".120","1/8","1-1/2","207-116","207-516","207-116-1","207-516-1"
".045",".135","1/8","1-1/2","207-118","207-518","207-118-1","207-518-1"
".050",".150","1/8","1-1/2","207-120","207-520","207-120-1","207-520-1"
".055",".165","1/8","1-1/2","207-122","207-522","207-122-1","207-522-1"
".060",".180","1/8","1-1/2","207-124","207-524","207-124-1","207-524-1"
".065",".195","1/8","1-1/2","207-126","207-526","207-126-1","207-526-1"
".070",".210","1/8","1-1/2","207-128","207-528","207-128-1","207-528-1"
".075",".225","1/8","1-1/2","207-130","207-530","207-130-1","207-530-1"
".080",".240","1/8","1-1/2","207-132","207-532","207-132-1","207-532-1"
".085",".255","1/8","1-1/2","207-134","207-534","207-134-1","207-534-1"
".090",".270","1/8","1-1/2","207-136","207-536","207-136-1","207-536-1"
".095",".285","1/8","1-1/2","207-138","207-538","207-138-1","207-538-1"
".100",".300","1/8","1-1/2","207-140","207-540","207-140-1","207-540-1"
".105",".315","1/8","1-1/2","207-142","207-542","207-142-1","207-542-1"
".110",".330","1/8","1-1/2","207-144","207-544","207-144-1","207-544-1"
".115",".345","1/8","1-1/2","207-146","207-546","207-146-1","207-546-1"
".120",".360","1/8","1-1/2","207-148","207-548","207-148-1","207-548-1"
