"OD","LOC","SHK","OAL","2 Flute - Uncoated","4 Flute - Uncoated","2 Flute- Power A","4-Flute power A"
".005",".015","1/8","1-1/2","207-002","","207-002-1",""
".010",".030","1/8","1-1/2","207-004","207-404","207-004-1","207-404-1"
".015",".045","1/8","1-1/2","207-006","207-406","207-006-1","207-406-1"
".020",".060","1/8","1-1/2","207-008","207-408","207-008-1","207-408-1"
".025",".075","1/8","1-1/2","207-010","207-410","207-010-1","207-410-1"
".030",".090","1/8","1-1/2","207-012","207-412","207-012-1","207-412-1"
".035",".105","1/8","1-1/2","207-014","207-414","207-014-1","207-414-1"
".040",".120","1/8","1-1/2","207-016","207-416","207-016-1","207-416-1"
".045",".135","1/8","1-1/2","207-018","207-418","207-018-1","207-418-1"
".050",".150","1/8","1-1/2","207-020","207-420","207-020-1","207-420-1"
".055",".165","1/8","1-1/2","207-022","207-422","207-022-1","207-422-1"
".060",".180","1/8","1-1/2","207-024","207-424","207-024-1","207-424-1"
".065",".195","1/8","1-1/2","207-026","207-426","207-026-1","207-426-1"
".070",".210","1/8","1-1/2","207-028","207-428","207-028-1","207-428-1"
".075",".225","1/8","1-1/2","207-030","207-430","207-030-1","207-430-1"
".080",".240","1/8","1-1/2","207-032","207-432","207-032-1","207-432-1"
".085",".255","1/8","1-1/2","207-034","207-434","207-034-1","207-434-1"
".090",".270","1/8","1-1/2","207-036","207-436","207-036-1","207-436-1"
".095",".285","1/8","1-1/2","207-038","207-438","207-038-1","207-438-1"
".100",".300","1/8","1-1/2","207-040","207-440","207-040-1","207-440-1"
".105",".315","1/8","1-1/2","207-042","207-442","207-042-1","207-442-1"
".110",".330","1/8","1-1/2","207-044","207-444","207-044-1","207-444-1"
".115",".345","1/8","1-1/2","207-046","207-446","207-046-1","207-446-1"
".120",".360","1/8","1-1/2","207-048","207-448","207-048-1","207-448-1"
