"OD","LOC","SHK","OAL","2 Flute - Uncoated","4 Flute - Uncoated","2 Flute- Power A","4-Flute power A"
"1/32","1/16","1/8","1-1/2","202-002","202-202","202-002-1","202-202-1"
"1/32","3/32","1/8","2","201-002","201-202","201-002-1","201-202-1"
"3/64","3/32","1/8","1-1/2","202-004","202-204","202-004-1","202-204-1"
"3/64","1/8","1/8","2","201-004","201-204","201-004-1","201-204-1"
"1/16","1/8","1/8","1-1/2","202-006","202-206","202-006-1","202-206-1"
"1/16","3/16","1/8","2","201-006","201-206","201-006-1","201-206-1"
"5/64","3/16","1/8","1-1/2","202-008","202-208","202-008-1","202-208-1"
"3/32","3/16","1/8","1-1/2","202-010","202-210","202-010-1","202-210-1"
"3/32","1/4","1/8","2","201-008","201-208","201-008-1","201-208-1"
"7/64","1/4","1/8","1-1/2","202-012","202-212","202-012-1","202-212-1"
"1/8","1/4","1/8","1-1/2","202-014","202-214","202-014-1","202-214-1"
"1/8","3/8","1/8","2","201-010","201-210","201-010-1","201-210-1"
"5/32","5/16","3/16","2","202-016","202-216","202-016-1","202-216-1"
"5/32","7/16","3/16","2-1/2","201-012","201-212","201-012-1","201-212-1"
"3/16","3/8","3/16","2","202-018","202-218","202-018-1","202-218-1"
"3/16","1/2","3/16","2-1/2","201-014","201-214","201-014-1","201-214-1"
"7/32","1/2","1/4","2-1/2","202-020","202-220","202-020-1","202-220-1"
"7/32","9/16","1/4","2-1/2","201-016","201-216","201-016-1","201-216-1"
"1/4","1/2","1/4","2-1/2","202-022","202-222","202-022-1","202-222-1"
"1/4","5/8","1/4","2-1/2","201-018","201-218","201-018-1","201-218-1"
"5/16","1/2","5/16","2-1/2","202-024","202-224","202-024-1","202-224-1"
"5/16","3/4","5/16","3-1/2","201-020","201-220","201-020-1","201-220-1"
"3/8","1/2","3/8","2-1/2","202-026","202-226","202-026-1","202-226-1"
"3/8","3/4","3/8","3-1/2","201-022","201-222","201-022-1","201-222-1"
"7/16","1/2","7/16","2-1/2","202-028","202-228","202-028-1","202-228-1"
"7/16","7/8","7/16","4","201-024","201-224","201-024-1","201-224-1"
"1/2","5/8","1/2","3","202-030","202-230","202-030-1","202-230-1"
"1/2","1","1/2","4","201-026","201-226","201-026-1","201-226-1"
"9/16","1-1/4","9/16","6","201-028","201-228","201-028-1","201-228-1"
"5/8","3/4","5/8","4","202-032","202-232","202-032-1","202-232-1"
"5/8","1-1/4","5/8","6","201-030","201-230","201-030-1","201-230-1"
"3/4","1","3/4","4","202-034","202-234","202-034-1","202-234-1"
"3/4","1-1/2","3/4","6","201-032","201-232","201-032-1","201-232-1"
"7/8","1-1/2","7/8","6","201-034","201-234","201-034-1","201-234-1"
"1","1-1/2","1","6","201-036","201-236","201-036-1","201-236-1"
