"OD","LOC","SHK","OAL","2-Flute","3-Flute","4 Flute","2-Flute PowerA","3- Flute PowerA","4 Flute PowerA"
"1/32","1/16","1/8","1-1/2","213-002","","213-602","213-002-1","","213-602-1"
"1/32","3/32","1/8","1-1/2","209-002","210-002","211-002","209-002-1","210-002-1","211-002-1"
"3/64","3/32","1/8","1-1/2","213-004","","213-604","213-004-1","","213-604-1"
"3/64","1/8","1/8","1-1/2","209-004","210-004","211-004","209-004-1","210-004-1","211-004-1"
"1/16","1/8","1/8","1-1/2","213-006","","213-606","213-006-1","","213-606-1"
"1/16","1/4","1/8","1-1/2","209-006","210-006","211-006","209-006-1","210-006-1","211-006-1"
"5/64","1/4","1/8","1-1/2","209-008","210-008","211-008","209-008-1","210-008-1","211-008-1"
"3/32","3/16","1/8","1-1/2","213-008","","213-608","213-008-1","","213-608-1"
"3/32","3/8","1/8","1-1/2","209-010","210-010","211-010","209-010-1","210-010-1","211-010-1"
"7/64","3/8","1/8","1-1/2","209-012","210-012","211-012","209-012-1","210-012-1","211-012-1"
"1/8","1/4","1/8","1-1/2","213-012","","213-612","213-012-1","","213-612-1"
"1/8","1/2","1/8","1-1/2","209-014","210-014","211-014","209-014-1","210-014-1","211-014-1"
"1/8","5/8","1/8","2","204-002","","206-002","204-002-1","","206-002-1"
"1/8","3/4","1/8","2","204-004","","206-004","204-004-1","","206-004-1"
"1/8","1","1/8","3","204-006","","206-006","204-006-1","","206-006-1"
"9/64","9/16","3/16","2","209-016","210-016","211-016","209-016-1","210-016-1","211-016-1"
"5/32","5/16","3/16","2","213-010","","213-610","213-010-1","","213-610-1"
"5/32","9/16","3/16","2","209-018","210-018","211-018","209-018-1","210-018-1","211-018-1"
"11/64","9/16","3/16","2","209-020","210-020","211-020","209-020-1","210-020-1","211-020-1"
"3/16","3/8","3/16","2","213-014","","213-614","213-014-1","","213-614-1"
"3/16","5/8","3/16","2","209-022","210-022","211-022","209-022-1","210-022-1","211-022-1"
"3/16","3/4","3/16","2-1/2","204-008","","206-008","204-008-1","","206-008-1"
"3/16","1-1/8","3/16","3","204-010","","206-010","204-010-1","","206-010-1"
"3/16","1","3/16","4","204-012","","206-012","204-012-1","","206-012-1"
"13/64","5/8","1/4","2-1/2","209-024","210-024","211-024","209-024-1","210-024-1","211-024-1"
"7/32","7/16","1/4","2","213-016","","213-616","213-016-1","","213-616-1"
"7/32","5/8","1/4","2-1/2","209-026","210-026","211-026","209-026-1","210-026-1","211-026-1"
"15/64","3/4","1/4","2-1/2","209-028","210-028","211-028","209-028-1","210-028-1","211-028-1"
"1/4","1/2","1/4","2","213-018","","213-618","213-018-1","","213-618-1"
"1/4","3/4","1/4","2-1/2","209-030","210-030","211-030","209-030-1","210-030-1","211-030-1"
"1/4","1-1/8","1/4","3","204-014","","206-014","204-014-1","","206-014-1"
"1/4","1","1/4","4","204-016","","206-016","204-016-1","","206-016-1"
"1/4","1-1/2","1/4","4","204-018","","206-018","204-018-1","","206-018-1"
"1/4","1-1/2","1/4","6","204-020","","206-020","204-020-1","","206-020-1"
"17/64","7/8","5/16","2-1/2","209-032","210-032","211-032","209-032-1","210-032-1","211-032-1"
"9/32","7/8","5/16","2-1/2","209-034","210-034","211-034","209-034-1","210-034-1","211-034-1"
"19/64","7/8","5/16","2-1/2","209-036","210-036","211-036","209-036-1","210-036-1","211-036-1"
"5/16","1/2","5/16","2","213-020","","213-620","213-020-1","","213-620-1"
"5/16","7/8","5/16","2-1/2","209-038","210-038","211-038","209-038-1","210-038-1","211-038-1"
