"OD","LOC","SHK","OAL","Radius","2-Flute","4 Flute","2-Flute power A","4- Flute Power A"
"1/8","1/2","1/8","1-1/2",".015","209-401","211-401","209-401-1","211-401-1"
"1/8","1/2","1/8","1-1/2",".020","209-402","211-402","209-402-1","211-402-1"
"1/8","1/2","1/8","1-1/2",".030","209-403","211-403","209-403-1","211-403-1"
"1/8","1/2","1/8","1-1/2",".045","209-404","211-404","209-404-1","211-404-1"
"1/8","1/2","1/8","1-1/2",".060","209-405","211-405","209-405-1","211-405-1"
"1/8","1","1/8","3",".010","204-400","206-400","204-400-1","206-400-1"
"1/8","1","1/8","3",".015","204-401","206-401","204-401-1","206-401-1"
"1/8","1","1/8","3",".020","204-402","206-402","204-402-1","206-402-1"
"1/8","1","1/8","3",".030","204-403","206-403","204-403-1","206-403-1"
"1/8","1","1/8","3",".045","204-404","206-404","204-404-1","206-404-1"
"3/16","5/8","3/16","2",".015","209-411","211-411","209-411-1","211-411-1"
"3/16","5/8","3/16","2",".020","209-412","211-412","209-412-1","211-412-1"
"3/16","5/8","3/16","2",".030","209-413","211-413","209-413-1","211-413-1"
"3/16","5/8","3/16","2",".045","209-414","211-414","209-414-1","211-414-1"
"3/16","5/8","3/16","2",".060","209-415","211-415","209-415-1","211-415-1"
"3/16","1-1/8","3/16","3",".010","204-410","206-410","204-410-1","206-410-1"
"3/16","1-1/8","3/16","3",".015","204-411","206-411","204-411-1","206-411-1"
"3/16","1-1/8","3/16","3",".020","204-412","206-412","204-412-1","206-412-1"
"3/16","1-1/8","3/16","3",".030","204-413","206-413","204-413-1","206-413-1"
"3/16","1-1/8","3/16","3",".045","204-414","206-414","204-414-1","206-414-1"
"3/16","1-1/8","3/16","3",".060","204-415","206-415","204-415-1","206-415-1"
"3/16","1","3/16","4",".010","204-420","206-420","204-420-1","206-420-1"
"3/16","1","3/16","4",".015","204-421","206-421","204-421-1","206-421-1"
"3/16","1","3/16","4",".020","204-422","206-422","204-422-1","206-422-1"
"3/16","1","3/16","4",".030","204-423","206-423","204-423-1","206-423-1"
"3/16","1","3/16","4",".045","204-424","206-424","204-424-1","206-424-1"
"3/16","1","3/16","4",".060","204-425","206-425","204-425-1","206-425-1"
"1/4","1/2","1/4","2-1/2",".015","213-281","213-881","213-281-1","213-881-1"
"1/4","1/2","1/4","2-1/2",".020","213-282","213-882","213-282-1","213-882-1"
"1/4","1/2","1/4","2-1/2",".030","213-283","213-883","213-283-1","213-883-1"
"1/4","1/2","1/4","2-1/2",".045","213-284","213-884","213-284-1","213-884-1"
"1/4","1/2","1/4","2-1/2",".060","213-285","213-885","213-285-1","213-885-1"
"1/4","3/4","1/4","2-1/2",".015","209-421","211-421","209-421-1","211-421-1"
