"OD","LOC","SHK","OAL","Reach","Neck","Uncoated"
"3","3","6","75","12mm","2.5","536-202"
"4","4","6","75","15mm","3.5","536-204"
"5","5","6","75","20mm","4.5","536-206"
"6","6","6","100","20mm","5.0","536-208"
"8","6","8","100","25mm","7.0","536-210"
"10","10","10","100","25mm","9.0","536-212"
"12","12","12","100","40mm","11.0","536-214"
"14","12","14","125","50mm","13.0","536-216"
"16","12","16","125","50mm","14.0","536-218"
"18","14","18","125","50mm","16.0","536-220"
"20","16","20","150","65mm","16.0","536-222"
