"OD","LOC","SHK","OAL","2Flute","3Flute","4Flute","2Flute PowerA","3Flute PowerA","4Flute PowerA"
"1","2","3","38","313-002","","313-602","313-002-1","","313-602-1"
"1","3","3","38","309-002","310-002","311-002","309-002-1","310-002-1","311-002-1"
"1.5","3","3","38","313-004","","313-604","313-004-1","","313-604-1"
"1.5","5","3","38","309-004","310-004","311-004","309-004-1","310-004-1","311-004-1"
"2","4","3","38","313-006","","313-606","313-006-1","","313-606-1"
"2","6","3","38","309-006","310-006","311-006","309-006-1","310-006-1","311-006-1"
"2.5","5","3","38","313-008","","313-608","313-008-1","","313-608-1"
"2.5","7","3","38","309-008","310-008","311-008","309-008-1","310-008-1","311-008-1"
"3","6","3","38","313-010","","313-610","313-010-1","","313-610-1"
"3","12","3","38","309-010","310-010","311-010","309-010-1","310-010-1","311-010-1"
"3","25","3","65","304-002","","306-002","304-002-1","","306-002-1"
"3.5","7","4","50","313-012","","313-612","313-012-1","","313-612-1"
"3.5","12","4","50","309-012","310-012","311-012","309-012-1","310-012-1","311-012-1"
"4","8","4","50","313-014","","313-614","313-014-1","","313-614-1"
"4","14","4","50","309-014","310-014","311-014","309-014-1","310-014-1","311-014-1"
"4","25","4","65","304-004","","306-004","304-004-1","","306-004-1"
"4.5","9","5","50","313-016","","313-616","313-016-1","","313-616-1"
"4.5","14","5","50","309-016","310-016","311-016","309-016-1","310-016-1","311-016-1"
"5","10","5","50","313-018","","313-618","313-018-1","","313-618-1"
"5","16","5","50","309-018","310-018","311-018","309-018-1","310-018-1","311-018-1"
"5","25","5","75","304-006","","306-006","304-006-1","","306-006-1"
"6","12","6","50","313-020","","313-620","313-020-1","","313-620-1"
"6","19","6","63","309-020","310-020","311-020","309-020-1","310-020-1","311-020-1"
"6","25","6","75","304-008","","306-008","304-008-1","","306-008-1"
"6","38","6","100","315-002","","317-002","315-002-1","","317-002-1"
"6","75","6","150","315-004","","317-004","315-004-1","","317-004-1"
"6","75","6","200","315-006","","317-006","315-006-1","","317-006-1"
"6","75","8","200","315-008","","317-008","315-008-1","","317-008-1"
"7","19","8","63","309-022","310-022","311-022","309-022-1","310-022-1","311-022-1"
"8","12","8","50","313-022","","313-622","313-022-1","","313-622-1"
"8","19","8","63","309-024","310-024","311-024","309-024-1","310-024-1","311-024-1"
"8","25","8","75","304-010","","306-010","304-010-1","","306-010-1"
"8","42","8","100","315-010","","317-010","315-010-1","","317-010-1"
"8","75","8","150","315-012","","317-012","315-012-1","","317-012-1"
"8","75","8","200","315-014","","317-014","315-014-1","","317-014-1"
"8","75","10","200","315-016","","317-016","315-016-1","","317-016-1"
"9","22","10","70","309-026","310-026","311-026","309-026-1","310-026-1","311-026-1"
"10","14","10","50","313-024","","313-624","313-024-1","","313-624-1"
"10","22","10","70","309-028","310-028","311-028","309-028-1","310-028-1","311-028-1"
"10","38","10","100","304-012","","306-012","304-012-1","","306-012-1"
"10","75","10","150","315-018","","317-018","315-018-1","","317-018-1"
"10","75","10","200","315-020","","317-020","315-020-1","","317-020-1"
"11","25","11","70","309-030","310-030","311-030","309-030-1","310-030-1","311-030-1"
"12","16","12","63","313-026","","313-626","313-026-1","","313-626-1"
"12","25","12","75","309-032","310-032","311-032","309-032-1","310-032-1","311-032-1"
"12","50","12","100","304-014","","306-014","304-014-1","","306-014-1"
"12","75","12","150","315-022","","317-022","315-022-1","","317-022-1"
"12","75","12","200","315-024","","317-024","315-024-1","","317-024-1"
"14","30","14","88","309-034","310-034","311-034","309-034-1","310-034-1","311-034-1"
"14","56","14","125","304-016","","306-016","304-016-1","","306-016-1"
"14","62","14","125","315-026","","317-026","315-026-1","","317-026-1"
"14","75","14","150","315-028","","317-028","315-028-1","","317-028-1"
"14","75","16","200","315-030","","317-030","315-030-1","","317-030-1"
"16","20","16","75","313-028","","313-628","313-028-1","","313-628-1"
"16","32","16","88","309-036","310-036","311-036","309-036-1","310-036-1","311-036-1"
"16","75","16","150","304-018","","306-018","304-018-1","","306-018-1"
"16","75","16","200","315-032","","317-032","315-032-1","","317-032-1"
"18","36","18","100","309-038","310-038","311-038","309-038-1","310-038-1","311-038-1"
"18","75","18","150","304-020","","306-020","304-020-1","","306-020-1"
"18","75","18","200","315-034","","317-034","315-034-1","","317-034-1"
"20","38","20","100","309-040","310-040","311-040","309-040-1","310-040-1","311-040-1"
"20","75","20","150","304-022","","306-022","304-022-1","","306-022-1"
"20","75","20","200","315-036","","317-036","315-036-1","","317-036-1"
"22","38","22","100","309-042","310-042","311-042","309-042-1","310-042-1","311-042-1"
"25","38","25","100","309-044","310-044","311-044","309-044-1","310-044-1","311-044-1"
"25","75","25","150","304-024","","306-024","304-024-1","","306-024-1"
