"OD","LOC","SHK","OAL","2 Flute","4 Flute","2 Flute - PowerA","4 Flute - PowerA"
"0.2","0.6","3","38","307-002","307-402","307-002-1","307-402-1"
"0.3","0.9","3","38","307-004","307-404","307-004-1","307-404-1"
"0.4","1.2","3","38","307-006","307-406","307-006-1","307-406-1"
"0.5","1.5","3","38","307-008","307-408","307-008-1","307-408-1"
"0.6","1.8","3","38","307-010","307-410","307-010-1","307-410-1"
"0.7","2.1","3","38","307-012","307-412","307-012-1","307-412-1"
"0.8","2.4","3","38","307-014","307-414","307-014-1","307-414-1"
"0.9","2.7","3","38","307-016","307-416","307-016-1","307-416-1"
"1.0","3.0","3","38","309-002","311-002","309-002-1","311-002-1"
"1.5","5.0","3","38","309-004","311-004","309-004-1","311-004-1"
