"OD","LOC","SHK","OAL","Uncoated","PowerA"
"6","38","6","100","315-002","315-002-1"
"6","75","6","150","315-004","315-004-1"
"6","75","6","200","315-006","315-006-1"
"6","75","8","200","315-008","315-008-1"
"8","42","8","100","315-010","315-010-1"
"8","75","8","150","315-012","315-012-1"
"8","75","8","200","315-014","315-014-1"
"8","75","10","200","315-016","315-016-1"
"10","75","10","150","315-018","315-018-1"
"10","75","10","200","315-020","315-020-1"
"12","75","12","150","315-022","315-022-1"
"12","75","12","200","315-024","315-024-1"
"14","62","14","125","315-026","315-026-1"
"14","75","14","150","315-028","315-028-1"
"14","75","16","200","315-030","315-030-1"
"16","75","16","200","315-032","315-032-1"
"18","75","18","200","315-034","315-034-1"
"20","75","20","200","315-036","315-036-1"
