"OD","LOC","SHK","OAL","Uncoated","PowerA"
"6","38","6","100","315-202","315-202-1"
"6","75","6","150","315-204","315-204-1"
"6","75","6","200","315-206","315-206-1"
"6","75","8","200","315-208","315-208-1"
"8","42","8","100","315-210","315-210-1"
"8","75","8","150","315-212","315-212-1"
"8","75","8","200","315-214","315-214-1"
"8","75","10","200","315-216","315-216-1"
"10","75","10","150","315-218","315-218-1"
"10","75","10","200","315-220","315-220-1"
"12","75","12","150","315-222","315-222-1"
"12","75","12","200","315-224","315-224-1"
"14","62","14","125","315-226","315-226-1"
"14","75","14","150","315-228","315-228-1"
"14","75","16","200","315-230","315-230-1"
"16","75","16","200","315-232","315-232-1"
"18","75","18","200","315-234","315-234-1"
"20","75","20","200","315-236","315-236-1"
