"OD","LOC","SHK","OAL","Reach","Neck","Flutes","PartID"
"6","6","6","150","20mm","5","2","536-402"
"8","8","8","150","25mm","7","2","536-404"
"10","10","10","150","25mm","9","2","536-406"
"12","12","12","150","40mm","11","2","536-408"
"14","14","14","175","50mm","13","2","536-410"
"16","16","16","200","50mm","14","2","536-412"
"18","18","18","200","50mm","16","2","536-414"
"20","20","20","200","65mm","18","2","536-416"
"6","6","6","100","20mm","5","3","536-602"
"8","6","8","100","25mm","7","3","536-604"
"10","10","10","100","25mm","9","3","536-606"
"12","12","12","100","40mm","11","3","536-608"
"14","12","14","125","50mm","13","3","536-610"
"16","12","16","125","50mm","14","3","536-612"
"18","14","18","125","50mm","16","3","536-614"
"20","16","20","150","65mm","18","3","536-616"
