"OD","LOC","SHK","OAL","2 Flute","4 Flute","2 Flute - PowerA","4 Flute - PowerA"
"1","2","3","38","302-102","302-302","302-102-1","302-302-1"
"1.5","3","3","38","302-104","302-304","302-104-1","302-304-1"
"2","4","3","38","302-106","302-306","302-106-1","302-306-1"
"2.5","5","3","38","302-108","302-308","302-108-1","302-308-1"
"3","6","3","38","302-110","302-310","302-110-1","302-310-1"
"3","9","3","50","301-102","301-302","301-102-1","301-302-1"
"3.5","7","4","50","302-112","302-312","302-112-1","302-312-1"
"4","8","4","50","302-114","302-314","302-114-1","302-314-1"
"4","10","4","63","301-104","301-304","301-104-1","301-304-1"
"4.5","10","5","50","302-116","302-316","302-116-1","302-316-1"
"5","10","5","50","302-118","302-318","302-118-1","302-318-1"
"5","12","5","63","301-106","301-306","301-106-1","301-306-1"
"6","12","6","63","302-120","302-320","302-120-1","302-320-1"
"6","16","6","63","301-108","301-308","301-108-1","301-308-1"
"7","10","7","63","302-122","302-322","302-122-1","302-322-1"
"8","12","8","63","302-124","302-324","302-124-1","302-324-1"
"8","18","8","75","301-110","301-310","301-110-1","301-310-1"
"9","12","9","70","302-126","302-326","302-126-1","302-326-1"
"10","12","10","70","302-128","302-328","302-128-1","302-328-1"
"10","18","10","75","301-112","301-312","301-112-1","301-312-1"
"11","12","11","70","302-130","302-330","302-130-1","302-330-1"
"12","16","12","75","302-132","302-332","302-132-1","302-332-1"
"12","25","12","100","301-114","301-314","301-114-1","301-314-1"
"16","32","16","150","301-116","301-316","301-116-1","301-316-1"
