"OD","LOC","SHK","OAL","2 Flute","4 Flute","2 Flute - PowerA","4 Flute - PowerA"
"1","2","3","38","302-002","302-202","302-002-1","302-202-1"
"1.5","3","3","38","302-004","302-204","302-004-1","302-204-1"
"2","4","3","38","302-006","302-206","302-006-1","302-206-1"
"2.5","5","3","38","302-008","302-208","302-008-1","302-208-1"
"3","6","3","38","302-010","302-210","302-010-1","302-210-1"
"3","9","3","50","301-002","301-202","301-002-1","301-202-1"
"3.5","7","4","50","302-012","302-212","302-012-1","302-212-1"
"4","8","4","50","302-014","302-214","302-014-1","302-214-1"
"4","10","4","63","301-004","301-204","301-004-1","301-204-1"
"4.5","10","5","50","302-016","302-216","302-016-1","302-216-1"
"5","10","5","50","302-018","302-218","302-018-1","302-218-1"
"5","12","5","63","301-006","301-206","301-006-1","301-206-1"
"6","12","6","63","302-020","302-220","302-020-1","302-220-1"
"6","16","6","63","301-008","301-208","301-008-1","301-208-1"
"7","10","7","63","302-022","302-222","302-022-1","302-222-1"
"8","12","8","63","302-024","302-224","302-024-1","302-224-1"
"8","18","8","75","301-010","301-210","301-010-1","301-210-1"
"9","12","9","70","302-026","302-226","302-026-1","302-226-1"
"10","12","10","70","302-028","302-228","302-028-1","302-228-1"
"10","18","10","75","301-012","301-212","301-012-1","301-212-1"
"11","12","11","70","302-030","302-230","302-030-1","302-230-1"
"12","16","12","75","302-032","302-232","302-032-1","302-232-1"
"12","25","12","100","301-014","301-214","301-014-1","301-214-1"
"16","32","16","150","301-016","301-216","301-016-1","301-216-1"
