"OD","LOC","SHK","OAL","PowerA NoFlat","PowerA With Flat"
"1/8","1/4","1/8","1-1/2","402-204-1",""
"1/8","3/8","1/8","1-1/2","400-202-1",""
"5/32","5/16","3/16","2","402-202-1",""
"5/32","7/16","3/16","2","400-204-1",""
"3/16","3/8","3/16","2","402-206-1",""
"3/16","7/16","3/16","2","400-206-1",""
"3/16","3/4","3/16","2-1/2","400-242-1",""
"7/32","7/16","1/4","2","402-208-1",""
"7/32","7/16","1/4","2-1/2","400-208-1",""
"1/4","3/8","1/4","2","402-226-1","402-226W-1"
"1/4","1/2","1/4","2","402-210-1","402-210W-1"
"1/4","5/8","1/4","2-1/2","400-210-1","400-210W-1"
"1/4","3/4","1/4","2-1/2","400-240-1","400-240W-1"
"1/4","1-1/8","1/4","3","401-202-1","401-202W-1"
"5/16","1/2","5/16","2","402-212-1","402-212W-1"
"5/16","13/16","5/16","2-1/2","400-212-1","400-212W-1"
"5/16","1-1/8","5/16","3","401-204-1","401-204W-1"
"11/32","13/16","3/8","2-1/2","400-214-1","400-214W-1"
"3/8","5/8","3/8","2","402-214-1","402-214W-1"
"3/8","7/8","3/8","2-1/2","400-216-1","400-216W-1"
"3/8","1-1/8","3/8","3","401-206-1","401-206W-1"
"15/32","1","1/2","3","400-218-1","400-218W-1"
"7/16","5/8","7/16","2-1/2","402-216-1","402-216W-1"
"7/16","1","7/16","2-3/4","400-220-1","400-220W-1"
"1/2","5/8","1/2","2-1/2","402-218-1","402-218W-1"
"1/2","1","1/2","3","400-222-1","400-222W-1"
"1/2","1-1/4","1/2","3","400-224-1","400-224W-1"
"1/2","2","1/2","4","401-208-1","401-208W-1"
"9/16","1-1/8","9/16","3-1/2","400-226-1","400-226W-1"
"5/8","3/4","5/8","3","402-220-1","402-220W-1"
"5/8","1-1/4","5/8","3-1/2","400-228-1","400-228W-1"
"5/8","2-1/4","5/8","5","401-210-1","401-210W-1"
"3/4","1","3/4","3","402-224-1","402-224W-1"
"3/4","7/8","3/4","3-1/2","402-222-1","402-222W-1"
"3/4","1-1/2","3/4","4","400-230-1","400-230W-1"
"3/4","1-5/8","3/4","4","400-232-1","400-232W-1"
"3/4","2-1/4","3/4","5","401-212-1","401-212W-1"
"3/4","3","3/4","6","401-214-1","401-214W-1"
"3/4","4","3/4","6","401-216-1","401-216W-1"
"1","1-1/2","1","4","400-234-1","400-234W-1"
"1","2-1/4","1","5","401-218-1","401-218W-1"
"1","3","1","6","401-220-1","401-220W-1"
"1","4","1","7","401-222-1","401-222W-1"
