"OD","LOC","SHK","OAL","PowerA No Flat","PowerA With Flat"
"1/8","1/4","1/8","1-1/2","402-004-1",""
"1/8","3/8","1/8","1-1/2","400-002-1",""
"5/32","5/16","3/16","2","402-002-1",""
"5/32","7/16","3/16","2","400-004-1",""
"3/16","3/8","3/16","2","402-006-1",""
"3/16","7/16","3/16","2","400-006-1",""
"3/16","3/4","3/16","2-1/2","400-042-1",""
"7/32","7/16","1/4","2","402-008-1",""
"7/32","7/16","1/4","2-1/2","400-008-1",""
"1/4","3/8","1/4","2","402-026-1","402-026W-1"
"1/4","1/2","1/4","2","402-010-1","402-010W-1"
"1/4","5/8","1/4","2-1/2","400-010-1","400-010W-1"
"1/4","3/4","1/4","2-1/2","400-040-1","400-040W-1"
"1/4","1-1/8","1/4","3","401-002-1","401-002W-1"
"5/16","1/2","5/16","2","402-012-1","402-012W-1"
"5/16","13/16","5/16","2-1/2","400-012-1","400-012W-1"
"5/16","1-1/8","5/16","3","401-004-1","401-004W-1"
"11/32","13/16","3/8","2-1/2","400-014-1","400-014W-1"
"3/8","5/8","3/8","2","402-014-1","402-014W-1"
"3/8","7/8","3/8","2-1/2","400-016-1","400-016W-1"
"3/8","1-1/8","3/8","3","401-006-1","401-006W-1"
"15/32","1","1/2","3","400-018-1","400-018W-1"
"7/16","5/8","7/16","2-1/2","402-016-1","402-016W-1"
"7/16","1","7/16","2-3/4","400-020-1","400-020W-1"
"1/2","5/8","1/2","2-1/2","402-018-1","402-018W-1"
"1/2","1","1/2","3","400-022-1","400-022W-1"
"1/2","1-1/4","1/2","3","400-024-1","400-024W-1"
"1/2","2","1/2","4","401-008-1","401-008W-1"
"9/16","1-1/8","9/16","3-1/2","400-026-1","400-026W-1"
"5/8","3/4","5/8","3","402-020-1","402-020W-1"
"5/8","1-1/4","5/8","3-1/2","400-028-1","400-028W-1"
"5/8","2-1/4","5/8","5","401-010-1","401-010W-1"
"3/4","1","3/4","3","402-024-1","402-024W-1"
"3/4","7/8","3/4","3-1/2","402-022-1","402-022W-1"
"3/4","1-1/2","3/4","4","400-030-1","400-030W-1"
"3/4","1-5/8","3/4","4","400-032-1","400-032W-1"
"3/4","2-1/4","3/4","5","401-012-1","401-012W-1"
"3/4","3","3/4","6","401-014-1","401-014W-1"
"3/4","4","3/4","6","401-016-1","401-016W-1"
"1","1-1/2","1","4","400-034-1","400-034W-1"
"1","2-1/4","1","5","401-018-1","401-018W-1"
"1","3","1","6","401-020-1","401-020W-1"
"1","4","1","7","401-022-1","401-022W-1"
