"OD","LOC","SHK","OAL","PowerA NoFlat","PowerA With Flat"
"5/16","1/2","5/16","2","410-012-1","410-012W-1"
"5/16","13/16","5/16","2-1/2","408-008-1","408-008W-1"
"3/8","5/8","3/8","2","410-014-1","410-014W-1"
"3/8","7/8","3/8","2-1/2","408-010-1","408-010W-1"
"3/8","1-1/8","3/8","3","409-004-1","409-004W-1"
"7/16","5/8","7/16","2-1/2","410-016-1","410-016W-1"
"7/16","1","7/16","2-3/4","408-012-1","408-012W-1"
"1/2","5/8","1/2","2-1/2","410-018-1","410-018W-1"
"1/2","1","1/2","3","408-014-1","408-014W-1"
"1/2","1-1/4","1/2","3","408-016-1","408-016W-1"
"1/2","2","1/2","4","409-006-1","409-006W-1"
"9/16","1-1/8","9/16","3-1/2","408-018-1","408-018W-1"
"5/8","3/4","5/8","3","410-020-1","410-020W-1"
"5/8","1-1/4","5/8","3-1/2","408-020-1","408-020W-1"
"5/8","2-1/4","5/8","5","409-008-1","409-008W-1"
"3/4","7/8","3/4","3-1/2","410-024-1","410-024W-1"
"3/4","1","3/4","3","410-022-1","410-022W-1"
"3/4","1-1/2","3/4","4","408-024-1","408-024W-1"
"3/4","1-5/8","3/4","4","408-022-1","408-022W-1"
"3/4","2-1/4","3/4","5","409-010-1","409-010W-1"
"3/4","3","3/4","6","409-012-1","409-012W-1"
"1","1-1/2","1","4","408-026-1","408-026W-1"
"1","2-1/4","1","5","409-014-1","409-014W-1"
"1","3","1","6","409-016-1","409-016W-1"
"1","4","1","7","409-018-1","409-018W-1"
