"OD","LOC","SHK","OAL","PowerA No Flat","PowerA With Flat"
"3","6","3","38","502-202-1","502-202W-1"
"3","8","6","57","500-204-1","500-204W-1"
"3","12","3","38","500-202-1","500-202W-1"
"3","20","3","65","501-202-1","501-202W-1"
"3.5","7","6","57","500-206-1","500-206W-1"
"4","8","4","50","502-204-1","502-204W-1"
"4","11","6","57","500-210-1","500-210W-1"
"4","14","4","50","500-208-1","500-208W-1"
"4","20","4","65","501-204-1","501-204W-1"
"4.5","9","6","57","500-212-1","500-212W-1"
"5","10","5","50","502-206-1","502-206W-1"
"5","13","6","57","500-216-1","500-216W-1"
"5","16","5","50","500-214-1","500-214W-1"
"5","25","5","75","501-206-1","501-206W-1"
"6","12","6","50","502-208-1","502-208W-1"
"6","13","6","57","502-210-1","502-210W-1"
"6","19","6","63","500-218-1","500-218W-1"
"6","25","6","75","501-208-1","501-208W-1"
"8","12","8","50","502-212-1","502-212W-1"
"8","19","8","63","500-220-1","500-220W-1"
"8","25","8","75","501-210-1","501-210W-1"
"10","14","10","50","502-214-1","502-214W-1"
"10","22","10","70","500-222-1","500-222W-1"
"10","38","10","100","501-212-1","501-212W-1"
"12","16","12","63","502-216-1","502-216W-1"
"12","25","12","75","500-224-1","500-224W-1"
"12","50","12","100","501-214-1","501-214W-1"
"14","25","14","88","500-226-1","500-226W-1"
"14","56","14","125","501-216-1","501-216W-1"
"16","32","16","88","500-228-1","500-228W-1"
"16","56","16","150","501-218-1","501-218W-1"
"18","36","18","100","500-230-1","500-230W-1"
"18","56","18","150","501-220-1","501-220W-1"
"20","38","20","100","500-232-1","500-232W-1"
"20","56","20","150","501-222-1","501-222W-1"
"25","38","25","100","500-234-1","500-234W-1"
"25","70","25","150","501-224-1","501-224W-1"
