"OD","LOC","SHK","OAL","Radius","PowerA","PowerA With Flat"
"3","6","3","38","0.25","502-401-1","502-401W-1"
"3","6","3","38","0.50","502-402-1","502-402W-1"
"3","6","3","38","0.75","502-403-1","502-403W-1"
"3","6","3","38","1.00","502-404-1","502-404W-1"
"3","12","3","38","0.25","500-400-1","500-400W-1"
"3","12","3","38","0.50","500-401-1","500-401W-1"
"3","12","3","38","0.75","500-402-1","500-402W-1"
"3","20","3","65","0.25","501-400-1","501-400W-1"
"3","20","3","65","0.50","501-401-1","501-401W-1"
"3","20","3","65","0.75","501-402-1","501-402W-1"
"3","20","3","65","1.00","501-403-1","501-403W-1"
"4","8","4","50","0.25","502-410-1","502-410W-1"
"4","8","4","50","0.50","502-411-1","502-411W-1"
"4","8","4","50","0.75","502-412-1","502-412W-1"
"4","8","4","50","1.00","502-413-1","502-413W-1"
"5","10","5","50","0.25","502-420-1","502-420W-1"
"4","14","4","50","0.25","500-420-1","500-420W-1"
"4","14","4","50","0.50","500-421-1","500-421W-1"
"4","14","4","50","0.75","500-422-1","500-422W-1"
"4","14","4","50","1.00","500-423-1","500-423W-1"
"4","20","4","65","0.25","501-410-1","501-410W-1"
"4","20","4","65","0.50","501-411-1","501-411W-1"
"4","20","4","65","0.75","501-412-1","501-412W-1"
"4","20","4","65","1.00","501-413-1","501-413W-1"
"5","10","5","50","0.50","502-421-1","502-421W-1"
"5","10","5","50","0.75","502-422-1","502-422W-1"
"5","10","5","50","1.00","502-423-1","502-423W-1"
"5","16","5","50","0.25","500-440-1","500-440W-1"
"5","16","5","50","0.50","500-441-1","500-441W-1"
"5","16","5","50","0.75","500-442-1","500-442W-1"
"5","16","5","50","1.00","500-443-1","500-443W-1"
"5","20","5","75","0.25","501-420-1","501-420W-1"
"5","20","5","75","0.50","501-422-1","501-422W-1"
"5","20","5","75","0.75","501-423-1","501-423W-1"
"5","20","5","75","1.00","501-424-1","501-424W-1"
"3","8","6","57","0.25","500-410-1","500-410W-1"
"3","8","6","57","0.50","500-411-1","500-411W-1"
"4","11","6","57","0.25","500-430-1","500-430W-1"
"4","11","6","57","0.50","500-431-1","500-431W-1"
"4","11","6","57","1.00","500-433-1","500-433W-1"
"5","13","6","57","0.25","500-450-1","500-450W-1"
"5","13","6","57","0.50","500-451-1","500-451W-1"
"5","13","6","57","1.00","500-453-1","500-453W-1"
"6","12","6","50","0.25","502-430-1","502-430W-1"
"6","12","6","50","0.50","502-431-1","502-431W-1"
"6","12","6","50","0.75","502-432-1","502-432W-1"
"6","12","6","50","1.00","502-433-1","502-433W-1"
"6","12","6","50","1.25","502-434-1","502-434W-1"
"6","12","6","50","1.50","502-435-1","502-435W-1"
"6","12","6","50","2.00","502-436-1","502-436W-1"
"6","13","6","57","0.25","502-440-1","502-440W-1"
"6","13","6","57","0.50","502-441-1","502-441W-1"
"6","13","6","57","1.00","502-443-1","502-443W-1"
"6","13","6","57","1.50","502-445-1","502-445W-1"
"6","13","6","57","2.00","502-446-1","502-446W-1"
"6","19","6","63","0.25","500-460-1","500-460W-1"
"6","19","6","63","0.50","500-461-1","500-461W-1"
"6","19","6","63","0.75","500-462-1","500-462W-1"
"6","19","6","63","1.00","500-463-1","500-463W-1"
"6","19","6","63","1.25","500-464-1","500-464W-1"
"6","19","6","63","1.50","500-465-1","500-465W-1"
"6","19","6","63","2.00","500-466-1","500-466W-1"
"6","25","6","75","0.25","501-430-1","501-430W-1"
"6","25","6","75","0.50","501-431-1","501-431W-1"
"6","25","6","75","0.75","501-432-1","501-432W-1"
"6","25","6","75","1.00","501-433-1","501-433W-1"
"6","25","6","75","1.25","501-434-1","501-434W-1"
"6","25","6","75","1.50","501-435-1","501-435W-1"
"6","25","6","75","2.00","501-436-1","501-436W-1"
"8","12","8","50","0.50","502-451-1","502-451W-1"
"8","12","8","50","0.75","502-452-1","502-452W-1"
"8","12","8","50","1.00","502-453-1","502-453W-1"
"8","12","8","50","1.25","502-454-1","502-454W-1"
"8","12","8","50","1.50","502-455-1","502-455W-1"
"8","12","8","50","2.00","502-456-1","502-456W-1"
"8","12","8","50","3.00","502-457-1","502-457W-1"
"8","19","8","63","0.50","500-471-1","500-471W-1"
"8","19","8","63","0.75","500-472-1","500-472W-1"
"8","19","8","63","1.00","500-473-1","500-473W-1"
"8","19","8","63","1.25","500-474-1","500-474W-1"
"8","19","8","63","1.50","500-475-1","500-475W-1"
"8","19","8","63","2.00","500-476-1","500-476W-1"
"8","19","8","63","3.00","500-477-1","500-477W-1"
"8","25","8","75","0.50","501-441-1","501-441W-1"
"8","25","8","75","0.75","501-442-1","501-442W-1"
"8","25","8","75","1.00","501-443-1","501-443W-1"
"8","25","8","75","1.25","501-444-1","501-444W-1"
"8","25","8","75","1.50","501-445-1","501-445W-1"
"8","25","8","75","2.00","501-446-1","501-446W-1"
"8","25","8","75","3.00","501-447-1","501-447W-1"
"10","14","10","50","0.50","502-461-1","502-461W-1"
"10","14","10","50","0.75","502-462-1","502-462W-1"
"10","14","10","50","1.00","502-463-1","502-463W-1"
"10","14","10","50","1.25","502-464-1","502-464W-1"
"10","14","10","50","1.50","502-465-1","502-465W-1"
"10","14","10","50","2.00","502-466-1","502-466W-1"
"10","14","10","50","3.00","502-467-1","502-467W-1"
"10","22","10","70","0.50","500-481-1","500-481W-1"
"10","22","10","70","0.75","500-482-1","500-482W-1"
"10","22","10","70","1.00","500-483-1","500-483W-1"
"10","22","10","70","1.25","500-484-1","500-484W-1"
"10","22","10","70","1.50","500-485-1","500-485W-1"
"10","22","10","70","2.00","500-486-1","500-486W-1"
"10","22","10","70","3.00","500-487-1","500-487W-1"
"10","38","10","100","0.50","501-451-1","501-451W-1"
"10","38","10","100","0.75","501-452-1","501-452W-1"
"10","38","10","100","1.00","501-453-1","501-453W-1"
"10","38","10","100","1.25","501-454-1","501-454W-1"
"10","38","10","100","1.50","501-455-1","501-455W-1"
"10","38","10","100","2.00","501-456-1","501-456W-1"
"10","38","10","100","3.00","501-457-1","501-457W-1"
"12","16","12","63","0.50","502-471-1","502-471W-1"
"12","16","12","63","0.75","502-472-1","502-472W-1"
"12","16","12","63","1.00","502-473-1","502-473W-1"
"12","16","12","63","1.25","502-474-1","502-474W-1"
"12","16","12","63","1.50","502-475-1","502-475W-1"
"12","16","12","63","2.00","502-476-1","502-476W-1"
"12","16","12","63","3.00","502-477-1","502-477W-1"
"12","16","12","63","4.00","502-478-1","502-478W-1"
"12","25","12","75","0.50","500-491-1","500-491W-1"
"12","25","12","75","0.75","500-492-1","500-492W-1"
"12","25","12","75","1.00","500-493-1","500-493W-1"
"12","25","12","75","1.25","500-494-1","500-494W-1"
"12","25","12","75","1.50","500-495-1","500-495W-1"
"12","25","12","75","2.00","500-496-1","500-496W-1"
"12","25","12","75","3.00","500-497-1","500-497W-1"
"12","25","12","75","4.00","500-498-1","500-498W-1"
"12","50","12","100","0.50","501-461-1","501-461W-1"
"12","50","12","100","0.75","501-462-1","501-462W-1"
"12","50","12","100","1.00","501-463-1","501-463W-1"
"12","50","12","100","1.25","501-464-1","501-464W-1"
"12","50","12","100","1.50","501-465-1","501-465W-1"
"12","50","12","100","2.00","501-466-1","501-466W-1"
"12","50","12","100","3.00","501-467-1","501-467W-1"
"12","50","12","100","4.00","501-468-1","501-468W-1"
"14","25","14","88","0.50","500-501-1","500-501W-1"
"14","25","14","88","0.75","500-502-1","500-502W-1"
"14","25","14","88","1.00","500-503-1","500-503W-1"
"14","25","14","88","1.50","500-505-1","500-505W-1"
"14","25","14","88","2.00","500-506-1","500-506W-1"
"14","25","14","88","3.00","500-507-1","500-507W-1"
