"OD","LOC","SHK","OAL","PowerA No Flat","PowerA With Flat"
"3","12","3","38","500-002-1","500-002W-1"
"3","8","6","57","500-004-1","500-004W-1"
"3","20","3","65","501-002-1","501-002W-1"
"3","6","3","38","502-002-1","502-002W-1"
"3.5","7","6","57","500-006-1","500-006W-1"
"4","14","4","50","500-008-1","500-008W-1"
"4","11","6","57","500-010-1","500-010W-1"
"4","20","4","65","501-004-1","501-004W-1"
"4","8","4","50","502-004-1","502-004W-1"
"4.5","9","6","57","500-012-1","500-012W-1"
"5","16","5","50","500-014-1","500-014W-1"
"5","13","6","57","500-016-1","500-016W-1"
"5","20","5","75","501-006-1","501-006W-1"
"5","10","5","50","502-006-1","502-006W-1"
"6","19","6","63","500-018-1","500-018W-1"
"6","25","6","75","501-008-1","501-008W-1"
"6","12","6","50","502-008-1","502-008W-1"
"6","13","6","57","502-010-1","502-010W-1"
"8","19","8","63","500-020-1","500-020W-1"
"8","25","8","75","501-010-1","501-010W-1"
"8","12","8","50","502-012-1","502-012W-1"
"10","22","10","70","500-022-1","500-022W-1"
"10","38","10","100","501-012-1","501-012W-1"
"10","14","10","50","502-014-1","502-014W-1"
"12","25","12","75","500-024-1","500-024W-1"
"12","50","12","100","501-014-1","501-014W-1"
"12","16","12","63","502-016-1","502-016W-1"
"14","25","14","88","500-026-1","500-026W-1"
"14","56","14","125","501-016-1","501-016W-1"
"16","32","16","88","500-028-1","500-028W-1"
"16","56","16","150","501-018-1","501-018W-1"
"18","36","18","100","500-030-1","500-030W-1"
"18","56","18","150","501-020-1","501-020W-1"
"20","38","20","100","500-032-1","500-032W-1"
"20","56","20","150","501-022-1","501-022W-1"
"25","38","25","100","500-034-1","500-034W-1"
"25","70","25","150","501-024-1","501-024W-1"
