"OD","LOC","SHK","OAL","PowerA","PowerA With Flat"
"8","12","8","50","510-210-1","510-210W-1"
"8","19","8","63","508-210-1","508-210W-1"
"8","25","8","75","509-210-1","509-210W-1"
"10","14","10","50","510-212-1","510-212W-1"
"10","22","10","70","508-212-1","508-212W-1"
"10","38","10","100","509-212-1","509-212W-1"
"12","16","12","63","510-214-1","510-214W-1"
"12","25","12","75","508-214-1","508-214W-1"
"12","50","12","100","509-214-1","509-214W-1"
"14","25","14","88","508-216-1","508-216W-1"
"14","56","14","125","509-216-1","509-216W-1"
"16","32","16","88","508-218-1","508-218W-1"
"16","56","16","150","509-218-1","509-218W-1"
"18","36","18","100","508-220-1","508-220W-1"
"18","56","18","150","509-220-1","509-220W-1"
"20","38","20","100","508-222-1","508-222W-1"
"20","56","20","150","509-222-1","509-222W-1"
"25","38","25","100","508-224-1","508-224W-1"
"25","70","25","150","509-224-1","509-224W-1"
